English,Infinitiv,Presens,Imperfekt / Preteritum,Supinum,Imperativum
,späda,späder,spädde,spätt,
,späka,späker,späkte,späkt,
,spänna,spänner,spände,spänt,
,spörja,spörjer,sporde,sport,
,steka,steker,stekte,stekt,
,sticka (stechen),sticker,stack,stuckit,
,stiga,stiger,steg,stigit,
,stinga,stinger,stang,stungit,
,stinka,stinker,stank,stunkit,
,stjäla,stjäl,stal,stulit,
,stjälpa,stjälper,stjälpte,stjälpt,
,strida,strider,"stred, stridde","stritt, stridit",
,stryka,stryker,strök,strukit,
,strypa,stryper,strypte,strypt,
,sträcka,sträcker,sträckte,sträckt,
,strö,strör,strödde,strött,
,styra,"styr, styrer",styrde,styrt,
,styrka,styrker,styrkte,styrkt,
,stå,står,stod,stått,
,stäcka,stäcker,stäckte,stäckt,
,städja,"städjer, städer",stadde,statt,
,ställa,ställer,ställde,ställt,
,stämma,stämmer,stämde,stämt,
,stänga,stänger,stängde,stängt,
,stänka,stänker,stänkte,stänkt,
,stärka,stärker,stärkte,stärkt,
,stödja,"stödjer, stöder",stödde,stött,
,stöpa,stöper,stöpte,stöpt,
,störa,stör,störde,stört,
,stöta,stöter,stötte,stött,
,suga,suger,sög,sugit,
,supa,super,söp,supit,
,sveda,sveder,svedde,svett,
,svepa,sveper,svepte,svept,
,svida,svider,sved,svidit,
,svika,sviker,svek,svikit,
,svälja,sväljer,sväljde,sväljt,
,svälla,sväller,svällde,svällt,
,svälta,svälter,"svalt, svälte","svultit, svält",
,svänga,svänger,svängde,svängt,
,"svära, svärja","svär, svärjer",svor,svurit,
,sy,syr,sydde,sytt,
,synas,synes,syntes,synts,
,så,sår,sådde,sått,
,säga,säger,sade,sagt,
,sälja,säljer,sålde,sålt,
,sämjas,"sämjes, säms",sämdes,sämts,
,sända,sänder,sände,sänt,
,sänka,sänker,sänkte,sänkt,
,sätta,sätter,satte,satt,
,söka,söker,sökte,sökt,
,sörja,sörjer,sörjde,sörjt,
,söva,söver,sövde,sövt,
,T[edit],,,,
,"ta, taga","tar, tager",tog,tagit,
,te,ter,tedde,tett,
,tiga,tiger,teg,"tegat, tigit",
,tigga,tigger,tiggde,tiggt,
,tjusa,"tjusar, tjuser","tjusade, tjuste","tjusat, tjust",
,tjuta,tjuter,tjöt,tjutit,
,tjäna,tjänar,"tjänade, tjänte","tjänat, tjänt",
,trivas,"trivs, trives",trivdes,"trivts, trivits",
,tro,tror,trodde,trott,
,trycka,trycker,tryckte,tryckt,
,tryta,tryter,tröt,trutit,
,trå,trår,trådde,trått,
,tråda,tråder,trådde,trått,
,träda,träder,trädde,trätt,
,tränga,tränger,trängde,trängt,
,träta,träter,trätte,trätt,
,tvinga,tvingar,"tvingade, tvang","tvingat, tvungit",
,två,tvår,tvådde,"tvått, tvagit",
,ty,tyr,tydde,tytt,
,tycka,tycker,tyckte,tyckt,
,tyda,tyder,tydde,tytt,
,tynga,tynger,tyngde,tyngt,
,tåla,tål,tålde,tålt,
,täcka,täcker,täckte,täckt,
,täckas,täckes,täcktes,täckts,
,tälja (schneiden),täljer,täljde,täljt,
,tälja (zählen),täljer,"täljde, talde","täljt, talt",
,tämja,tämjer,"tämde, tamde","tämt, tamt",
,tända,tänder,tände,tänt,
,tänja,tänjer,tänjde,tänjt,
,tänka,tänker,tänkte,tänkt,
,täppa,täpper,täppte,täppt,
,tära,"tär, tärer",tärde,tärt,
,töja,töjer,töjde,töjt,
,tömma,tömmer,tömde,tömt,
,–,tör,torde,–,
,töras,törs,tordes,torts,
,V[edit],,,,
,vara (sein),är,var,varit,
,varda,varder,vart,–,
,varsko,varskor,varskodde,varskott,
,vederkvicka,vederkvicker,vederkvickte,vederkvickt,
,veta,vet,visste,vetat,
,vetta,vetter,vette,vettat,
,viga,viger,vigde,vigt,
,vika,viker,vek,vikit,
,vilja,vill,ville,velat,
,vina,viner,ven,vinit,
,vinna,vinner,vann,vunnit,
,vrida,vrider,vred,vridit,
,vräka,vräker,vräkte (vrok),vräkt,
,vränga,vränger,vrängde,vrängt,
,väcka,väcker,väckte,väckt,
